구역,지역,구분,2018,2019
부산광역시,중구,외부방문자(b+c),40912649,40819089
부산광역시,서구,외부방문자(b+c),20066468,20510883
부산광역시,동구,외부방문자(b+c),33518424,32155346
부산광역시,영도구,외부방문자(b+c),15063485,16621976
부산광역시,부산진구,외부방문자(b+c),71963217,73688721
부산광역시,동래구,외부방문자(b+c),37716713,37658329
부산광역시,남구,외부방문자(b+c),30646582,31160097
부산광역시,북구,외부방문자(b+c),19612387,21536953
부산광역시,해운대구,외부방문자(b+c),65359312,68577349
부산광역시,사하구,외부방문자(b+c),23612334,24711871
부산광역시,금정구,외부방문자(b+c),30793912,29893737
부산광역시,강서구,외부방문자(b+c),32977238,34407286
부산광역시,연제구,외부방문자(b+c),27402424,26548831
부산광역시,수영구,외부방문자(b+c),34490042,34648274
부산광역시,사상구,외부방문자(b+c),33286899,29567392
부산광역시,기장군,외부방문자(b+c),34685091,35699701
세종특별자치시,세종특별자치시,외부방문자(b+c),26303060,27571443
울산광역시,중구,외부방문자(b+c),24804772,26858760
울산광역시,남구,외부방문자(b+c),44799735,43528491
울산광역시,동구,외부방문자(b+c),12141821,12627995
울산광역시,북구,외부방문자(b+c),20488716,22361397
울산광역시,울주군,외부방문자(b+c),28932510,29540670
인천광역시,중구,외부방문자(b+c),60427679,73522849
인천광역시,동구,외부방문자(b+c),8842994,9206111
인천광역시,남구,외부방문자(b+c),35552310,0
인천광역시,미추홀구,외부방문자(b+c),7261921,48600955
인천광역시,연수구,외부방문자(b+c),38246240,42013672
인천광역시,남동구,외부방문자(b+c),48878518,54294875
인천광역시,부평구,외부방문자(b+c),51788369,53578978
인천광역시,계양구,외부방문자(b+c),28261867,28817368
인천광역시,서구,외부방문자(b+c),41492843,49973516
인천광역시,강화군,외부방문자(b+c),14083773,15014200
인천광역시,옹진군,외부방문자(b+c),4942595,5562626
전라남도,목포시,외부방문자(b+c),22424013,23709261
전라남도,여수시,외부방문자(b+c),23361581,24748486
전라남도,순천시,외부방문자(b+c),22362774,22828719
전라남도,나주시,외부방문자(b+c),13914721,14845628
전라남도,광양시,외부방문자(b+c),12182874,12487155
전라남도,담양군,외부방문자(b+c),13425942,13484676
전라남도,곡성군,외부방문자(b+c),4900709,5181663
전라남도,구례군,외부방문자(b+c),5318881,5490056
전라남도,고흥군,외부방문자(b+c),5310611,5543364
전라남도,보성군,외부방문자(b+c),6249195,6597715
전라남도,화순군,외부방문자(b+c),11123891,11651111
전라남도,장흥군,외부방문자(b+c),4625687,4723841
전라남도,강진군,외부방문자(b+c),5362168,5405528
전라남도,해남군,외부방문자(b+c),7502450,7887076
전라남도,영암군,외부방문자(b+c),8915055,9322639
전라남도,무안군,외부방문자(b+c),12456796,13432331
전라남도,함평군,외부방문자(b+c),5352041,5798621
전라남도,영광군,외부방문자(b+c),6440996,6766642
전라남도,장성군,외부방문자(b+c),8053930,8925479
전라남도,완도군,외부방문자(b+c),5448300,5703699
전라남도,진도군,외부방문자(b+c),3480447,4186618
전라남도,신안군,외부방문자(b+c),4760262,6536967
전라북도,전주시,외부방문자(b+c),74809007,73820129
전라북도,군산시,외부방문자(b+c),22937311,23993546
전라북도,익산시,외부방문자(b+c),21601475,22630676
전라북도,정읍시,외부방문자(b+c),10322921,11655097
전라북도,남원시,외부방문자(b+c),9395531,9663175
전라북도,김제시,외부방문자(b+c),10119269,10508332
전라북도,완주군,외부방문자(b+c),16388936,17506850
전라북도,진안군,외부방문자(b+c),4130004,4313931
전라북도,무주군,외부방문자(b+c),7937504,7736598
전라북도,장수군,외부방문자(b+c),2744075,2815193
전라북도,임실군,외부방문자(b+c),4985871,6448559
전라북도,순창군,외부방문자(b+c),3952645,4204101
전라북도,고창군,외부방문자(b+c),9213566,9636710
전라북도,부안군,외부방문자(b+c),9333578,9346785
제주특별자치도,제주시,외부방문자(b+c),53751473,56242940
제주특별자치도,서귀포시,외부방문자(b+c),40583453,41965025
충청남도,천안시,외부방문자(b+c),83013683,84352715
충청남도,공주시,외부방문자(b+c),25537043,26789707
충청남도,보령시,외부방문자(b+c),15087332,15897813
충청남도,아산시,외부방문자(b+c),31214838,31687545
충청남도,서산시,외부방문자(b+c),17282372,18298518
충청남도,논산시,외부방문자(b+c),14026637,15166477
충청남도,계룡시,외부방문자(b+c),4377922,4765335
충청남도,당진시,외부방문자(b+c),16446734,18750693
충청남도,금산군,외부방문자(b+c),9696237,10117690
충청남도,부여군,외부방문자(b+c),10099426,10688600
충청남도,서천군,외부방문자(b+c),8275092,9185177
충청남도,청양군,외부방문자(b+c),4495412,4626416
충청남도,홍성군,외부방문자(b+c),11385314,11919333
충청남도,예산군,외부방문자(b+c),11857550,14116505
충청남도,태안군,외부방문자(b+c),13954748,15253767
충청북도,청주시,외부방문자(b+c),119148969,121062373
충청북도,충주시,외부방문자(b+c),22654210,23503365
충청북도,제천시,외부방문자(b+c),13134362,13712258
충청북도,보은군,외부방문자(b+c),7381496,6303387
충청북도,옥천군,외부방문자(b+c),10630748,10686178
충청북도,영동군,외부방문자(b+c),6093246,6610730
충청북도,증평군,외부방문자(b+c),5065244,5489451
충청북도,진천군,외부방문자(b+c),10943020,11224602
충청북도,괴산군,외부방문자(b+c),8418836,8974756
충청북도,음성군,외부방문자(b+c),14985887,15555055
충청북도,단양군,외부방문자(b+c),8282963,8466913
